"";"Term";"Overlap";"P.value";"Adjusted.P.value";"Old.P.value";"Old.Adjusted.P.value";"Odds.Ratio";"Combined.Score";"Genes";"condition";"k.means"
"127";"cellular response to heat (GO:0034605)";"4/47";9,98031373319191e-05;0,0152596450803979;0;0;18,6553911205074;171,85926368983;"IL1A;IER5;HSPA1B;HSPA1A";"TGFb";4
"128";"cytokine-mediated signaling pathway (GO:0019221)";"12/633";0,000100640693028181;0,0152596450803979;0;0;4,09322078887296;37,6738153566377;"BST2;IL1A;IL6;ANXA1;RIPK2;CSF2RB;PTGS2;GBP2;CXCL5;CD44;PSMB8;IFIT2";"TGFb";4
"129";"positive regulation of cytokine production (GO:0001819)";"7/220";0,000143523124874737;0,0178073412502977;0;0;6,73845852895149;59,628716467512;"IL1A;IL6;ANXA1;RIPK2;PTGS2;HSPA1B;HSPA1A";"TGFb";4
"130";"response to lipopolysaccharide (GO:0032496)";"6/155";0,000151415902959736;0,0178073412502977;0;0;8,19815955165018;72,1067498745377;"JUN;IL6;GCH1;F2R;TRIB1;CXCL5";"TGFb";4
"131";"mitotic cell cycle phase transition (GO:0044772)";"17/221";6,12553280171972e-14;5,64161571038387e-11;0;0;14,7657657657658;449,22960535911;"MCM7;UBE2C;PLK1;CDC25C;TUBB4B;AURKA;CCNA2;CCNB2;CCNB1;MELK;CDK1;MCM3;TACC3;MCM5;NES;MCM2;CDKN3";"TGFb";5
"132";"mitotic sister chromatid segregation (GO:0000070)";"12/82";1,58257760236936e-13;7,28776985891092e-11;0;0;29,264039408867;862,544430721588;"CENPE;CCNB1;PRC1;CDCA5;PLK1;NUSAP1;NCAPG;KIF23;KIF2C;KIF22;SMC4;SMC2";"TGFb";5
"133";"mitotic spindle organization (GO:0007052)";"10/74";4,10076150204552e-11;1,25893378112797e-08;0;0;26,228813559322;627,321440843622;"CENPE;TPX2;CCNB1;PRC1;NUF2;BIRC5;KIF23;AURKB;AURKA;SPC25";"TGFb";5
"134";"microtubule cytoskeleton organization involved in mitosis (GO:1902850)";"8/44";3,29587332206735e-10;7,58874832406007e-08;0;0;36,7333333333333;802,005469574087;"CENPE;CCNB1;NUF2;NUSAP1;TACC3;AURKB;AURKA;SPC25";"TGFb";5
"135";"chromosome condensation (GO:0030261)";"6/23";5,63754471609957e-09;1,03843573670554e-06;0;0;57,4397299903568;1090,99973146837;"TOP2A;CDCA5;NUSAP1;NCAPG;SMC4;SMC2";"TGFb";5
"136";"G2/M transition of mitotic cell cycle (GO:0000086)";"10/126";8,31422579706286e-09;1,05091377930295e-06;0;0;14,4330800701344;268,531753422087;"CCNA2;CCNB2;CCNB1;MELK;PLK1;CDK1;CDC25C;TUBB4B;NES;AURKA";"TGFb";5
"137";"cell cycle G2/M phase transition (GO:0044839)";"10/127";8,97643414333414e-09;1,05091377930295e-06;0;0;14,3089960886571;265,126568143726;"CCNA2;CCNB2;CCNB1;MELK;PLK1;CDK1;CDC25C;TUBB4B;NES;AURKA";"TGFb";5
"138";"regulation of mitotic cell cycle (GO:0007346)";"11/165";9,12845845214286e-09;1,05091377930295e-06;0;0;12,037851037851;222,843121464197;"TPX2;CCNB1;SPHK1;PLK1;CDK1;CKS2;TACC3;BIRC5;MKI67;CDC25C;CKS1B";"TGFb";5
"139";"regulation of cell cycle (GO:0051726)";"12/215";1,39177047877604e-08;1,42424512328082e-06;0;0;10,0232716154238;181,322026760884;"CCNB2;CCNB1;CENPF;GMNN;PLK1;ID1;CDK1;CKS2;HMGA2;BIRC5;CDC25C;CKS1B";"TGFb";5
"140";"mitotic chromosome condensation (GO:0007076)";"5/15";2,83116759929003e-08;2,37186518191538e-06;0;0;80,739837398374;1403,25769077375;"CDCA5;NUSAP1;NCAPG;SMC4;SMC2";"TGFb";5
"141";"cytokine-mediated signaling pathway (GO:0019221)";"17/633";4,77109653058553e-09;5,51538758935687e-06;0;0;7,00501965140123;134,221007727661;"CDKN1A;RSAD2;GPR35;TNFRSF9;PTAFR;TNFRSF11B;TNFRSF13C;IFI30;IL2RG;CSF2RA;CX3CL1;IFIT3;PSMB9;HCK;IRF1;LEPR;FSCN1";"TGFb";6
"142";"regulation of cell proliferation (GO:0042127)";"16/740";2,80133730600566e-07;0,000161917296287127;0;0;5,5056324890579;83,0689760495967;"PDGFRA;CDKN1A;JAG1;TNFRSF9;TNFRSF11B;IFIT3;GREM1;HCK;BST1;SFRP1;IRF1;MDM2;CDH13;FGFR2;HSPA1B;HSPA1A";"TGFb";6
"143";"hemopoiesis (GO:0030097)";"6/76";1,44466169994837e-06;0,000556676308380106;0;0;19,543842364532;262,818466071593;"NOTCH2;SFRP1;JAG1;FST;RUNX3;FGFR2";"TGFb";6
"144";"negative regulation of programmed cell death (GO:0043069)";"11/408";3,02881739363851e-06;0,000875328226761531;0;0;6,5924310376605;83,7722515056755;"GREM1;NOTCH2;PDGFRA;HCK;SFRP1;FLNA;HIGD1A;IFIT3;FGFR2;HSPA1B;HSPA1A";"TGFb";6
"145";"regulation of apoptotic process (GO:0042981)";"15/815";5,02575335410439e-06;0,00116195417546893;0;0;4,59302884615385;56,0392472962858;"NOTCH2;PDGFRA;PTGIS;TNFRSF9;TNFRSF11B;HIGD1A;IFIT3;GREM1;HCK;SFRP1;FLNA;FGFR2;HSPA1B;CTSB;HSPA1A";"TGFb";6
"146";"positive regulation of cytokine production (GO:0001819)";"8/220";8,61585932893344e-06;0,0014377590247598;0;0;8,74361820199778;101,967253090416;"ZBP1;SLC11A1;DDIT3;IRF1;SERPINE1;CYBA;HSPA1B;HSPA1A";"TGFb";6
"147";"cellular response to cytokine stimulus (GO:0071345)";"11/456";8,70615326411643e-06;0,0014377590247598;0;0;5,86686763496848;68,3576939068999;"HCK;CDKN1A;SFRP1;PTGIS;IRF1;PTAFR;TCF7;FSCN1;IL2RG;CSF2RA;CX3CL1";"TGFb";6
"148";"negative regulation of apoptotic process (GO:0043066)";"11/485";1,54797265164075e-05;0,00223682048162089;0;0;5,49971699084079;60,914751859111;"GREM1;NOTCH2;PDGFRA;HCK;SFRP1;FLNA;HIGD1A;IFIT3;FGFR2;HSPA1B;HSPA1A";"TGFb";6
"149";"regulation of interleukin-8 production (GO:0032677)";"4/34";1,82570902644578e-05;0,00234502181619036;0;0;29,7782771535581;324,909502918726;"DDIT3;SERPINE1;HSPA1B;HSPA1A";"TGFb";6
"150";"regulation of bone remodeling (GO:0046850)";"3/12";2,07720571844477e-05;0,00240124981052215;0;0;73,6962962962963;794,586235514426;"GREM1;SFRP1;LEPR";"TGFb";6
"151";"extracellular matrix organization (GO:0030198)";"14/229";1,09105170458697e-16;7,31004642073269e-14;0;0;38,9474277660324;1431,48230479885;"TGFB2;ELN;MMP2;BGN;FN1;FBLN5;COL1A1;VCAN;COL1A2;COL4A2;COL5A1;COL4A1;TGFBI;GAS6";"TGFb";7
"152";"collagen fibril organization (GO:0030199)";"4/29";6,08811187186294e-07;0,000122881363679657;0;0;74,1506976744186;1061,22681504832;"COL1A1;TGFB2;COL1A2;COL5A1";"TGFb";7
"153";"regulation of cell migration (GO:0030334)";"8/316";6,5409475473572e-07;0,000122881363679657;0;0;13,0835830835831;186,310401191749;"COL1A1;SEMA3C;SERPINE2;IGFBP5;PDGFC;TPM1;SEMA3G;HBEGF";"TGFb";7
"154";"positive regulation of cell migration (GO:0030335)";"7/221";7,90216517454925e-07;0,000122881363679657;0;0;16,1417056074766;226,806441361301;"COL1A1;TGFB2;SEMA3C;PDGFC;SEMA3G;FN1;HBEGF";"TGFb";7
"155";"endodermal cell differentiation (GO:0035987)";"4/32";9,17025102086996e-07;0,000122881363679657;0;0;66,1960132890365;920,265647821128;"COL4A2;MMP2;FN1;INHBA";"TGFb";7
"156";"endoderm formation (GO:0001706)";"4/36";1,4918598096355e-06;0,000152208508226621;0;0;57,9098837209302;776,889293501796;"COL4A2;MMP2;FN1;INHBA";"TGFb";7
"157";"cellular protein metabolic process (GO:0044267)";"9/484";1,59023814565127e-06;0,000152208508226621;0;0;9,71202216066482;129,671295127577;"VCAN;IGFBP5;SDC2;MMP2;FN1;IGFBP7;TGFBI;GAS6;LMCD1";"TGFb";7
"158";"odontogenesis (GO:0042476)";"4/41";2,54287229397145e-06;0,000212965554620109;0;0;50,0716530483972;645,03386463919;"COL1A1;TGFB2;COL1A2;INHBA";"TGFb";7
"159";"protein complex subunit organization (GO:0071822)";"4/45";3,71560758458182e-06;0,000276606342407757;0;0;45,1775382870108;564,85333106933;"COL1A1;TGFB2;COL1A2;COL5A1";"TGFb";7
"160";"positive regulation of fibroblast proliferation (GO:0048146)";"3/28";3,82338956188486e-05;0,00256167100646285;0;0;54,3490909090909;552,827437020264;"PDGFC;FN1;GAS6";"TGFb";7
"161";"regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)";"6/28";1,39088491034322e-08;1,64263507911534e-05;0;0;47,5071770334928;859,440015079145;"BMP4;TGFB1;LTBP4;NREP;FSTL3;DKK3";"TGFb";8
"162";"positive regulation of endothelial cell migration (GO:0010595)";"7/70";2,05729066344039e-07;0,000121483013676155;0;0;19,4857423795477;300,016241654982;"BMP4;EDN1;SPARC;TGFB1;FGF2;THBS1;FGFR1";"TGFb";8
"163";"regulation of MAP kinase activity (GO:0043405)";"7/87";9,2198489078132e-07;0,000314626292323355;0;0;15,3318584070796;213,06280401919;"BMP4;EDN1;TGFB1;DUSP1;GSTP1;FGF2;FGFR1";"TGFb";8
"164";"positive regulation of MAP kinase activity (GO:0043406)";"9/177";1,22338778785662e-06;0,000314626292323355;0;0;9,51351351351351;129,51589482858;"BMP4;EDN1;TGFB1;GADD45B;KIT;CXCR4;FGF2;THBS1;FGFR1";"TGFb";8
"165";"positive regulation of collagen metabolic process (GO:0010714)";"4/15";1,59844009647767e-06;0,000314626292323355;0;0;62,2852664576803;831,289209067695;"BMP4;TGFB1;RGCC;CREB3L1";"TGFb";8
"166";"positive regulation of collagen biosynthetic process (GO:0032967)";"4/15";1,59844009647767e-06;0,000314626292323355;0;0;62,2852664576803;831,289209067695;"BMP4;TGFB1;RGCC;CREB3L1";"TGFb";8
"167";"regulation of collagen biosynthetic process (GO:0032965)";"4/17";2,76127913677996e-06;0,00046586723721959;0;0;52,6976127320955;674,519774552589;"BMP4;TGFB1;RGCC;CREB3L1";"TGFb";8
"168";"regulation of cellular response to transforming growth factor beta stimulus (GO:1903844)";"4/18";3,53378310441863e-06;0,000521674730789801;0;0;48,9310344827586;614,238202535011;"TGFB1;LTBP4;NREP;DKK3";"TGFb";8
"169";"eye morphogenesis (GO:0048592)";"4/20";5,54348811259519e-06;0,000727428828997213;0;0;42,8103448275862;518,128750130347;"EFEMP1;COL5A2;MFAP2;FBN1";"TGFb";8
"170";"regulation of endothelial cell proliferation (GO:0001936)";"6/79";7,99976997958687e-06;0,000870168453863394;0;0;14,2804614275415;167,596891503622;"BMP4;SPARC;RGCC;FGF2;THBS1;PGF";"TGFb";8
"171";"extracellular matrix organization (GO:0030198)";"8/229";8,31969952455376e-06;0,00798626387112903;0;0;8,79950840735154;102,926832781471;"ADAMTS4;COL18A1;MMP14;VWF;ITGB4;PDGFA;ITGA5;NID1";"TGFb";9
"172";"vascular endothelial growth factor receptor signaling pathway (GO:0048010)";"5/70";1,50117741938516e-05;0,00798626387112903;0;0;18,1739926739927;201,852643140695;"SH2D2A;HSPB1;NCKAP1L;ACTB;ACTG1";"TGFb";9
"173";"positive regulation of tumor necrosis factor production (GO:0032760)";"4/47";5,64562376529616e-05;0,0142917573942076;0;0;21,743365253078;212,694572459337;"PYCARD;HSPB1;MIF;CLU";"TGFb";9
"174";"neutrophil mediated immunity (GO:0002446)";"10/487";6,08160222248648e-05;0,0142917573942076;0;0;5,15723270440252;50,0646476089555;"PYCARD;ACE;GSN;GCA;CRISPLD2;PTPRJ;NCKAP1L;MIF;CD55;APRT";"TGFb";9
"175";"transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)";"9/396";6,71605140705243e-05;0,0142917573942076;0;0;5,67558139534884;54,5333985736654;"SH2D2A;PDK4;HSPB1;PDGFA;PTPRJ;NCKAP1L;UBA52;ACTB;ACTG1";"TGFb";9
"176";"regulation of cell migration (GO:0030334)";"8/316";8,27348253954262e-05;0,0146716423701222;0;0;6,28603495270162;59,0879109901082;"MMP14;ACE;LMO4;PDGFA;STC1;PTPRJ;RND1;RHOB";"TGFb";9
"177";"actin filament organization (GO:0007015)";"5/120";0,000198558704047878;0,0301809230152775;0;0;10,2463768115942;87,3444784730541;"GSN;ACTN1;EVL;RND1;RHOB";"TGFb";9
"178";"platelet degranulation (GO:0002576)";"5/124";0,000231334822367742;0,0307675313749097;0;0;9,8999599839936;82,8789450492636;"LGALS3BP;VWF;ACTN1;PDGFA;CLU";"TGFb";9
"179";"neutrophil degranulation (GO:0043312)";"9/479";0,000280279298407513;0,0316983276588673;0;0;4,65343085106383;38,0637798177114;"PYCARD;GSN;GCA;CRISPLD2;PTPRJ;NCKAP1L;MIF;CD55;APRT";"TGFb";9
"180";"neutrophil activation involved in immune response (GO:0002283)";"9/483";0,000297916613335219;0,0316983276588673;0;0;4,61321202531646;37,4532703149361;"PYCARD;GSN;GCA;CRISPLD2;PTPRJ;NCKAP1L;MIF;CD55;APRT";"TGFb";9
"181";"cytokine-mediated signaling pathway (GO:0019221)";"13/633";5,77329038693398e-09;3,79305178421563e-06;0;0;10,3913978494624;197,125063077874;"TNFRSF9;FN1;CSF2RB;IL2RG;PTGS2;PSMB10;PSMB8;IFIT2;IL18BP;IL1A;CXCL10;IRF7;GBP2";"TNFa";1
"182";"cellular response to type I interferon (GO:0071357)";"4/65";2,44611497881212e-05;0,00508022766004221;0;0;27,1680327868852;288,48170284024;"IRF7;GBP2;PSMB8;IFIT2";"TNFa";1
"183";"type I interferon signaling pathway (GO:0060337)";"4/65";2,44611497881212e-05;0,00508022766004221;0;0;27,1680327868852;288,48170284024;"IRF7;GBP2;PSMB8;IFIT2";"TNFa";1
"184";"positive regulation of vascular endothelial growth factor production (GO:0010575)";"3/24";3,22808080262859e-05;0,00508022766004221;0;0;58,0962099125364;600,775095949815;"IL1A;SULF1;PTGS2";"TNFa";1
"185";"positive regulation of JNK cascade (GO:0046330)";"4/76";4,5386287718706e-05;0,00508022766004221;0;0;23,0046296296296;230,053209904454;"IL1A;GADD45A;F2RL1;DKK1";"TNFa";1
"186";"regulation of vascular endothelial growth factor production (GO:0010574)";"3/27";4,63947731510704e-05;0,00508022766004221;0;0;50,8265306122449;507,163577674659;"IL1A;PTGS2;SULF1";"TNFa";1
"187";"regulation of superoxide metabolic process (GO:0090322)";"2/6";9,87896675507094e-05;0,00821074226822512;0;0;199,44;1839,33889780375;"BST1;GCH1";"TNFa";1
"188";"proteolysis involved in cellular protein catabolic process (GO:0051603)";"4/93";9,99785968733652e-05;0,00821074226822512;0;0;18,5945692883895;171,266292461538;"CTSK;CTSS;PSMB10;PSMB8";"TNFa";1
"189";"regulation of Wnt signaling pathway, planar cell polarity pathway (GO:2000095)";"2/7";0,00013807555394688;0,0100627525940366;0;0;159,544;1417,98072929542;"RSPO3;DKK1";"TNFa";1
"190";"cellular response to cytokine stimulus (GO:0071345)";"7/456";0,000168632423424614;0,0100627525940366;0;0;6,75540707745608;58,6895527918759;"IL1A;CXCL10;FN1;CSF2RB;IL2RG;PTGS2;IL18BP";"TNFa";1
"191";"leukocyte cell-cell adhesion (GO:0007159)";"3/27";2,61606367914598e-07;5,59837627337239e-05;0;0;356,535714285714;5403,80676899648;"VCAM1;SELE;ICAM1";"TNFa";2
"192";"regulation of inflammatory response (GO:0050727)";"4/166";9,24440246958265e-07;9,89151064245343e-05;0;0;81,59670781893;1133,71097573719;"NFKBIA;TNFAIP3;SELE;CX3CL1";"TNFa";2
"193";"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)";"3/47";1,44267015760341e-06;0,000102910471242376;0;0;194,279220779221;2612,86413216628;"VCAM1;SELE;ICAM1";"TNFa";2
"194";"cytokine-mediated signaling pathway (GO:0019221)";"5/633";6,90355625192868e-06;0,000369340259478184;0;0;30,8312101910828;366,38188100387;"NFKBIA;VCAM1;ACKR3;CX3CL1;ICAM1";"TNFa";2
"195";"cellular response to interferon-gamma (GO:0071346)";"3/116";2,21457766851502e-05;0,000822349469703336;0;0;75,3868520859671;807,986009085321;"VCAM1;CX3CL1;ICAM1";"TNFa";2
"196";"leukocyte tethering or rolling (GO:0050901)";"2/16";2,6899281719268e-05;0,000822349469703336;0;0;356,714285714286;3753,85102872522;"VCAM1;SELE";"TNFa";2
"197";"leukocyte adhesion to vascular endothelial cell (GO:0061756)";"2/16";2,6899281719268e-05;0,000822349469703336;0;0;356,714285714286;3753,85102872522;"VCAM1;SELE";"TNFa";2
"198";"cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)";"3/142";4,05410565907745e-05;0,00108447326380322;0;0;61,2055498458376;618,983682361981;"VCAM1;SELE;ICAM1";"TNFa";2
"199";"negative regulation of endothelial cell apoptotic process (GO:2000352)";"2/24";6,17369532258749e-05;0,00146796755448191;0;0;226,909090909091;2199,3453827158;"TNFAIP3;ICAM1";"TNFa";2
"200";"negative regulation of epithelial cell apoptotic process (GO:1904036)";"2/29";9,06952185550059e-05;0,00194087767707713;0;0;184,842592592593;1720,51594600487;"TNFAIP3;ICAM1";"TNFa";2
"201";"cellular response to type I interferon (GO:0071357)";"6/65";2,44069067793296e-11;1,53763512709777e-09;0;0;155,843546284224;3808,21704635485;"BST2;RSAD2;MX1;ISG15;XAF1;IFIT3";"TNFa";3
"202";"type I interferon signaling pathway (GO:0060337)";"6/65";2,44069067793296e-11;1,53763512709777e-09;0;0;155,843546284224;3808,21704635485;"BST2;RSAD2;MX1;ISG15;XAF1;IFIT3";"TNFa";3
"203";"cytokine-mediated signaling pathway (GO:0019221)";"8/633";5,34876121330886e-08;2,24647970958972e-06;0;0;22,5233454545455;377,126746562045;"BST2;RSAD2;MX1;ISG15;IFI30;XAF1;CXCL5;IFIT3";"TNFa";3
"204";"negative regulation of viral genome replication (GO:0045071)";"4/50";1,30271647453414e-07;4,10355689478255e-06;0;0;115,565217391304;1832,12981193724;"BST2;RSAD2;MX1;ISG15";"TNFa";3
"205";"negative regulation of viral life cycle (GO:1903901)";"4/61";2,93251856964974e-07;7,02087427803639e-06;0;0;93,2116959064328;1402,11214295267;"BST2;RSAD2;MX1;ISG15";"TNFa";3
"206";"regulation of viral genome replication (GO:0045069)";"4/63";3,34327346573162e-07;7,02087427803639e-06;0;0;90,0429378531073;1342,6433245578;"BST2;RSAD2;MX1;ISG15";"TNFa";3
"207";"response to cytokine (GO:0034097)";"4/138";7,76004545227702e-06;0,000139680818140986;0;0;39,4965174129353;464,736655539507;"BST2;MX1;ISG15;XAF1";"TNFa";3
"208";"response to type I interferon (GO:0034340)";"2/7";1,79040561431266e-05;0,000281988884254244;0;0;470,023529411765;5137,58432502969;"MX1;ISG15";"TNFa";3
"209";"response to interferon-beta (GO:0035456)";"2/19";0,000144804957111634;0,00202726939956287;0;0;138,159169550173;1221,34403090413;"BST2;XAF1";"TNFa";3
"210";"alpha-beta T cell activation (GO:0046631)";"1/6";0,00568711573898333;0,0511151148020108;0;0;221,955555555556;1147,41079930952;"RSAD2";"TNFa";3
"211";"regulation of angiogenesis (GO:0045765)";"10/177";9,76287971184833e-07;0,00123012284369289;0;0;8,35860194504608;115,678940506796;"CDH5;SFRP1;IL6;SPARC;SPHK1;KDR;ECSCR;PGK1;HMGA2;RHOB";"TNFa";4
"212";"sulfur compound biosynthetic process (GO:0044272)";"8/122";4,08065550634177e-06;0,00257081296899531;0;0;9,68470126364863;120,179907426874;"GGCT;CHST7;ESD;MGST1;GCLM;CHST2;PAPSS2;B4GALT5";"TNFa";4
"213";"regulation of DNA binding (GO:0051101)";"5/52";4,48215167679488e-05;0,0142391890593562;0;0;14,4287379772661;144,472388641516;"CDCA5;ID1;PLAUR;HMGA2;ID3";"TNFa";4
"214";"regulation of cell proliferation (GO:0042127)";"17/740";4,5203774791607e-05;0,0142391890593562;0;0;3,35606201358353;33,5751517552279;"KLF10;COL18A1;BTG2;CDKN2B;CDCA7L;CDCA7;PDGFB;BMX;TNFRSF1B;PTHLH;SFRP1;IL6;ADAMTS1;BHLHE40;LMNA;KDR;S1PR3";"TNFa";4
"215";"extracellular matrix organization (GO:0030198)";"9/229";6,24172589033325e-05;0,0157291492436398;0;0;5,65496158770807;54,7494648061016;"ADAMTS4;COL18A1;SPARC;LOX;ICAM2;KDR;PDGFB;ADAMTS9;LOXL2";"TNFa";4
"216";"regulation of establishment of endothelial barrier (GO:1903140)";"3/12";8,82889335603061e-05;0,0185406760476643;0;0;44,6846846846847;417,12687475963;"CDH5;CLDN5;S1PR3";"TNFa";4
"217";"positive regulation of vasculature development (GO:1904018)";"6/104";0,000138424329416034;0,0249163792948861;0;0;8,3396199859254;74,0990809126794;"CDH5;SPHK1;KDR;PDGFB;HMGA2;RHOB";"TNFa";4
"218";"mitotic chromosome condensation (GO:0007076)";"3/15";0,000179584835286321;0,0282846115575955;0;0;33,5084459459459;289,005750322506;"CDCA5;SMC4;SMC2";"TNFa";4
"219";"positive regulation of epithelial cell apoptotic process (GO:1904037)";"3/16";0,000219805888116134;0,0307728243362588;0;0;30,9293139293139;260,510365349309;"IL6;GSN;ECSCR";"TNFa";4
"220";"regulation of fibroblast proliferation (GO:0048145)";"4/46";0,00039816731166715;0,0486497754913525;0;0;12,8325234855847;100,461184330852;"SFRP1;SPHK1;PDGFB;MIF";"TNFa";4
"221";"mitotic sister chromatid segregation (GO:0000070)";"13/82";7,26589946682419e-14;8,56649547138573e-11;0;0;25,8717793880837;782,698921242128;"PLK1;NCAPG;CDCA8;KIF23;KIF22;KNSTRN;NDC80;CENPE;CCNB1;PSRC1;PRC1;NUSAP1;KIF2C";"TNFa";5
"222";"mitotic cell cycle phase transition (GO:0044772)";"16/221";2,14045424800035e-11;1,26179777919621e-08;0;0;10,8703684483653;267,05688495241;"MCM7;UBE2C;PLK1;CDC25C;TUBB4B;AURKA;CCNA2;CCNB2;CCNB1;CDK1;MCM3;TACC3;MCM5;NES;MCM2;CDKN3";"TNFa";5
"223";"mitotic spindle organization (GO:0007052)";"10/74";3,10817911121388e-10;1,22151439070705e-07;0;0;21,0235969387755;460,244671061677;"CENPE;TPX2;CCNB1;PRC1;NUF2;BIRC5;KIF23;AURKB;NDC80;AURKA";"TNFa";5
"224";"mitotic metaphase plate congression (GO:0007080)";"8/43";1,38416270691223e-09;3,30231765042931e-07;0;0;30,3861936720997;619,822757055999;"CENPE;CCNB1;PSRC1;NUF2;CDCA8;KIF2C;KIF22;NDC80";"TNFa";5
"225";"microtubule cytoskeleton organization involved in mitosis (GO:1902850)";"8/44";1,68056877884443e-09;3,30231765042931e-07;0;0;29,5406413124534;596,843061992935;"CENPE;CCNB1;NUF2;NUSAP1;TACC3;AURKB;NDC80;AURKA";"TNFa";5
"226";"metaphase plate congression (GO:0051310)";"8/44";1,68056877884443e-09;3,30231765042931e-07;0;0;29,5406413124534;596,843061992935;"CENPE;CCNB1;CENPF;PSRC1;CDCA8;KIF2C;KIF22;NDC80";"TNFa";5
"227";"regulation of mitotic cell cycle phase transition (GO:1901990)";"13/184";2,36689500436771e-09;3,98652744307076e-07;0;0;10,3856400259909;206,27633009406;"UBE2C;PLK1;HMMR;TUBB4B;AURKA;CDC20;ANLN;TPX2;CENPE;CCNB1;CENPF;RGCC;CDK1";"TNFa";5
"228";"kinetochore organization (GO:0051383)";"5/12";2,11828173866079e-08;3,12181771235134e-06;0;0;93,2142857142857;1647,10346480829;"CENPE;CENPF;CENPW;NUF2;NDC80";"TNFa";5
"229";"establishment of chromosome localization (GO:0051303)";"5/13";3,4204500759167e-08;4,35157122691543e-06;0;0;81,5583881578947;1402,0627964176;"CENPE;CENPF;KIF2C;KIF22;NDC80";"TNFa";5
"230";"regulation of cell cycle process (GO:0010564)";"9/90";3,69090010764668e-08;4,35157122691543e-06;0;0;14,8363363363363;253,921083190163;"RACGAP1;PRC1;PLK1;KIF20A;MKI67;CDC25C;KNSTRN;AURKB;AURKA";"TNFa";5
"231";"extracellular matrix organization (GO:0030198)";"16/229";7,45365647717803e-10;1,30289915221072e-06;0;0;8,36320956039266;175,770798162872;"TGFB1;ITGB4;ELN;MMP2;BGN;LAMB1;NID1;THBS1;LOXL1;FBLN5;MMP14;COL1A2;COL5A1;MFAP2;COL8A1;TGFBI";"TNFa";6
"232";"regulation of cell migration (GO:0030334)";"17/316";1,13883874382932e-08;9,9534506210683e-06;0;0;6,33832775919732;115,93227183126;"ACE;TGFB1;ANXA1;SERPINE2;LMO4;CITED2;F2R;SEMA3G;NEXN;PTPRJ;LAMB1;THBS1;DAB2;MMP14;PDGFC;SNAI1;FLNA";"TNFa";6
"233";"regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)";"9/79";6,61965651502847e-08;3,85705319608992e-05;0;0;13,8674473067916;229,23774116872;"DAB2;TGFB1;CITED2;CD109;LTBP4;PMEPA1;NREP;UBA52;THBS1";"TNFa";6
"234";"positive regulation of blood vessel endothelial cell migration (GO:0043536)";"7/45";2,24478483549619e-07;9,80970973111837e-05;0;0;19,6856330014225;301,376922364098;"SRPX2;TGFB1;ANXA1;RHOJ;HSPB1;THBS1;FGFR1";"TNFa";6
"235";"transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)";"16/396";1,48467910737459e-06;0,000519043815938157;0;0;4,64784688995215;62,3755549190283;"NRP1;SDC2;SH2D2A;MMP2;HSPB1;PTPRJ;FGFRL1;PGF;SULF2;PDGFC;KIT;PDK4;GRAP;ATP6V0E2;UBA52;FGFR1";"TNFa";6
"236";"positive regulation of collagen metabolic process (GO:0010714)";"4/15";1,03430166967595e-05;0,00237988146493327;0;0;38,2920696324952;439,562286715853;"BMP4;TGFB1;CREB3L1;F2R";"TNFa";6
"237";"positive regulation of collagen biosynthetic process (GO:0032967)";"4/15";1,03430166967595e-05;0,00237988146493327;0;0;38,2920696324952;439,562286715853;"BMP4;TGFB1;CREB3L1;F2R";"TNFa";6
"238";"regulation of endothelial cell proliferation (GO:0001936)";"7/79";1,08919060180012e-05;0,00237988146493327;0;0;10,3717717717718;118,523324548872;"BMP4;NRP1;ECM1;EGFL7;NR2F2;THBS1;PGF";"TNFa";6
"239";"regulation of collagen biosynthetic process (GO:0032965)";"4/17";1,77646717756268e-05;0,00345029402931063;0;0;32,3977086743044;354,375818062708;"BMP4;TGFB1;CREB3L1;F2R";"TNFa";6
"240";"renal system development (GO:0072001)";"6/59";2,13688840662296e-05;0,00364072676914203;0;0;12,0237370663421;129,298154831973;"BMP4;ACE;MME;ITGB4;PKD1;SULF2";"TNFa";6
"241";"positive regulation of cytokine-mediated signaling pathway (GO:0001961)";"5/33";3,95543716767035e-07;0,000422045145790426;0;0;40,8045977011494;601,582368361394;"ZBP1;EDN1;GAS6;HSPA1B;HSPA1A";"TNFa";7
"242";"positive regulation of myeloid cell differentiation (GO:0045639)";"4/29";9,11762135380468e-06;0,00378687286696576;0;0;36,1509090909091;419,542203271993;"SCIN;NCKAP1L;HSPA1B;HSPA1A";"TNFa";7
"243";"extracellular matrix organization (GO:0030198)";"8/229";1,06472526718812e-05;0,00378687286696576;0;0;8,4839474251239;97,142968313509;"GREM1;COL1A1;VCAN;FLRT2;ADAM12;GAS6;GPM6B;JAM2";"TNFa";7
"244";"positive regulation of heart rate (GO:0010460)";"3/14";3,30496987089419e-05;0,00881600713061024;0;0;60,9713993871297;629,072297814418;"EDN1;TPM1;ADRB1";"TNFa";7
